#{"t_start": 1765252472.6392884, "env_id": "None"}
r,l,t
-63.9,140,1.538313
-58.5,86,1.543825
-55.4,55,1.547824
-56.2,63,1.550831
-56.5,66,1.556824
-57.3,74,1.560824
-55.4,55,1.563825
-56.4,65,1.567824
95.6,45,1.571825
-55.7,58,1.574825
96.3,38,1.577826
-57.9,80,1.581825
-59.2,93,1.588828
-58.5,86,1.593827
-57.8,79,1.633934
-56.4,65,1.659438
-58.8,89,1.712438
-56.3,64,1.746957
-58.3,84,1.779955
-55.4,55,1.802954
-55.2,53,1.828954
-57.4,75,1.864469
-56.4,65,1.902469
-59.2,93,1.953577
-56.9,70,1.987198
96.2,39,2.003198
-57.6,77,2.032211
-56.0,61,2.068712
-56.6,67,2.103712
90.0,101,2.162224
-56.1,62,2.192224
-56.6,67,2.229226
-56.0,61,2.258747
-55.3,54,2.281743
95.2,49,2.304746
-57.5,76,2.337358
95.2,49,2.369863
-59.1,92,2.419863
-54.8,49,2.447374
-55.7,58,2.482373
-63.2,133,2.546883
-61.7,118,2.615884
-55.1,52,2.645406
-59.4,95,2.692391
-57.2,73,2.754906
-56.5,66,2.782906
-56.7,68,2.810905
-56.9,70,2.837908
-57.8,79,2.874418
-57.4,75,2.918413
-59.3,94,2.964926
-57.4,75,2.999063
-56.2,63,3.031067
-56.5,66,3.061573
95.8,43,3.078573
-56.9,70,3.109571
-58.4,85,3.151093
-54.7,48,3.173092
-59.4,95,3.216092
97.6,25,3.227092
-55.4,55,3.252616
-54.4,45,3.272611
-59.6,97,3.330553
-58.0,81,3.381058
82.6,175,3.464567
-55.3,54,3.495567
-60.0,101,3.557076
-56.0,61,3.595076
-56.7,68,3.651584
-61.5,116,3.719583
-56.3,64,3.751098
-57.2,73,3.791099
98.2,19,3.800103
-54.4,45,3.820103
-79.5,296,3.950072
-60.5,106,4.006041
98.1,20,4.020045
94.3,58,4.046549
-57.0,71,4.07955
-59.0,91,4.11955
96.7,34,4.136554
-57.4,75,4.168063
-57.1,72,4.200063
-57.7,78,4.23607
-56.3,64,4.269585
-58.3,84,4.319915
-69.3,194,4.432428
-55.7,58,4.465933
-71.9,220,4.580445
-55.5,56,4.612445
97.7,24,4.626445
-57.0,71,4.661963
-58.3,84,4.702968
-61.4,115,4.750472
-57.4,75,4.785472
-56.7,68,4.813472
97.7,24,4.828476
95.1,50,4.859979
-58.3,84,4.911988
-57.6,77,4.956372
-60.6,107,5.015451
-58.2,83,5.049978
-59.4,95,5.09297
-54.4,45,5.11297
-57.9,80,5.16348
-57.1,72,5.20648
-54.1,42,5.227485
-59.2,93,5.282539
-60.4,105,5.335346
-56.8,69,5.369853
-54.6,47,5.396853
-54.2,43,5.423852
96.5,36,5.441863
-56.4,65,5.471374
-55.3,54,5.500374
-55.9,60,5.52702
-61.9,120,5.596959
-61.7,118,5.657175
-56.7,68,5.698179
-58.5,86,5.750683
-58.3,84,5.787687
-55.7,58,5.818683
-57.0,71,5.858191
-55.6,57,5.890192
-55.9,60,5.917196
-58.4,85,5.955736
-54.2,43,5.972915
-58.7,88,6.024915
-54.0,41,6.045423
-54.2,43,6.065423
-54.8,49,6.097424
-58.7,88,6.145932
-57.4,75,6.189932
-55.7,58,6.223933
-54.6,47,6.244442
-54.9,50,6.268445
-56.7,68,6.305944
-55.8,59,6.340123
-55.5,56,6.366629
-58.5,86,6.408629
97.9,22,6.420633
-55.3,54,6.444145
-61.6,117,6.506149
-55.7,58,6.541151
-58.1,82,6.597088
-57.6,77,6.637575
-57.0,71,6.675958
-58.2,83,6.711958
-63.6,137,6.792852
-55.4,55,6.817844
-53.3,34,6.835847
-54.7,48,6.857352
-55.9,60,6.885357
-54.9,50,6.911354
-54.5,46,6.938355
-56.7,68,6.974371
-55.9,60,7.005375
99.2,9,7.009375
-56.1,62,7.043885
-57.0,71,7.071889
-60.2,103,7.122889
-53.8,39,7.141892
-58.5,86,7.17712
-55.9,60,7.206128
-55.7,58,7.236124
-55.8,59,7.271639
-56.2,63,7.311251
-57.2,73,7.356762
-54.0,41,7.382766
-55.9,60,7.411762
97.1,30,7.425761
-56.0,61,7.455277
-56.9,70,7.48827
-55.6,57,7.523277
-55.4,55,7.556783
97.2,29,7.570781
-57.2,73,7.611779
-57.3,74,7.656286
97.9,22,7.669286
97.7,24,7.682287
-55.7,58,7.720287
-56.2,63,7.758321
-54.9,50,7.789321
-55.5,56,7.821325
-55.5,56,7.860585
-56.6,67,7.898589
-55.3,54,7.925585
-53.4,35,7.941587
-57.0,71,7.985605
-56.8,69,8.035607
-53.7,38,8.058115
-53.7,38,8.080116
-56.8,69,8.117119
-54.5,46,8.144622
-56.1,62,8.18263
-56.4,65,8.213627
-57.6,77,8.274396
-56.5,66,8.308907
-55.7,58,8.338674
-57.3,74,8.378782
-58.0,81,8.426782
-55.9,60,8.459299
-59.6,97,8.515298
98.9,12,8.524299
99.1,10,8.534303
-54.9,50,8.569808
-56.0,61,8.612809
-58.1,82,8.668034
-58.6,87,8.720034
-58.1,82,8.765546
-54.8,49,8.786541
-55.4,55,8.821541
-56.5,66,8.866061
-55.9,60,8.903056
-53.6,37,8.926056
-55.1,52,8.957566
-54.7,48,8.981144
-57.8,79,9.027144
-55.5,56,9.052674
-54.9,50,9.073674
-55.2,53,9.102682
-59.1,92,9.156304
-55.6,57,9.184304
-58.2,83,9.220305
-58.6,87,9.261828
-57.9,80,9.304893
-58.0,81,9.343506
-56.7,68,9.376564
-56.3,64,9.408564
-55.8,59,9.437562
-57.7,78,9.487858
98.0,21,9.500858
-55.7,58,9.532862
-54.4,45,9.5559
-55.1,52,9.5819
-54.3,44,9.6109
-54.9,50,9.639903
-57.6,77,9.689923
-55.9,60,9.721931
-54.4,45,9.743925
-56.1,62,9.773984
-57.3,74,9.814984
